isan,title,genre_id,release_year,poster,trailer,summary
0000-0001-49F7-0000-M-0000-0000-8,Pulp Fiction,13,1994,0000-0001-49F7-0000-M-0000-0000-8.jpg,https://www.youtube.com/watch?v=tGpTpVyI_OQ,"L’odyssée sanglante et burlesque de petits malfrats dans la jungle d’Hollywood : Deux petits tueurs, un dangereux gangster marié à une camée, un boxeur roublard, des prêteurs sur gages sadiques, un caïd élégant et dévoué, un dealer bon mari et deux tourtereaux à la gâchette facile."
0000-0001-0995-0000-E-0000-0000-W,Jackie Brown,13,1997,0000-0001-0995-0000-E-0000-0000-W.jpg,https://www.youtube.com/watch?v=G7HkBDNZV7s,"Hôtesse de l’air, Jackie Brown arrondit ses fins de mois en convoyant de l’argent liquide pour le compte de Ordell Robbie, trafiquant d’armes. Quand la police et le FBI lui signifient qu’ils comptent sur elle pour faire tomber Robbie, Jackie Brown échafaude un plan audacieux."
0000-0001-0F07-0000-H-0000-0000-N,"Kill Bill, Volume 1",2,2003,0000-0001-0F07-0000-H-0000-0000-N.jpg,https://www.youtube.com/watch?v=7kSuas6mRpk,"Au cours d'un mariage, un commando armé massacre l'assistance, laissant pour morte la Mariée et l'enfant qu'elle porte. Après 4 ans de coma, la Mariée se lance à la poursuite des assassins, membres du clan de Bill, au sein duquel, sous le pseudonyme de Black Mamba, elle exerça elle-même autrefois ses talents de redoutable tueuse."
0000-0001-0B0E-0000-9-0000-0000-A,"Kill Bill, Volume 2",2,2004,0000-0001-0B0E-0000-9-0000-0000-A.jpg,https://www.youtube.com/watch?v=WTt8cCIvGYI,"Après avoir éliminé ses deux anciennes collègues Vernita Green et O-Ren Ishii, la Mariée, alias Black Mamba, poursuit l'éradication du gang des Vipères Assassines. Prochaines cibles : Budd, puis Elle Driver, avant d'atteindre enfin son but ultime : tuer leur chef, Bill."
0000-0001-C4BE-0000-3-0000-0000-S,Boulevard de la mort ,7,2007,0000-0001-C4BE-0000-3-0000-0000-S.jpg,https://www.youtube.com/watch?v=ndePUePt_OE,"C’est à la tombée du jour que Jungle Julia, la DJ la plus sexy d’Austin, peut enfin se détendre avec ses meilleures copines, Shanna et Arlene. Ce trio infernal, qui vit la nuit, attire les regards dans tous les bars et dancings du Texas. Mais l’attention dont ces trois jeunes femmes sont l’objet n’est pas forcément innocente."
0000-0002-3198-0000-W-0000-0000-F,Inglourious Basterds,14,2009,0000-0002-3198-0000-W-0000-0000-F.jpg,https://www.youtube.com/watch?v=KnrRy6kSFF0,"Dans la France occupée de 1940, un groupe de soldats juifs américains, les bâtards, mène des actions punitives particulièrement sanglantes contre les nazis du Troisième Reich. Leur chemin rencontre celui de Shosanna Dreyfus, une jeune juive réfugiée à Paris exploitante d'une salle de cinéma qui entend elle aussi assouvir sa propre vengeance envers les nazis."
0000-0003-6795-0000-O-0000-0000-2,Django Unchained,15,2012,0000-0003-6795-0000-O-0000-0000-2.jpg,https://www.youtube.com/watch?v=0fUCuvNlOCg,"Dans le sud des Etats-Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle - morts ou vifs. Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves."
0000-0004-27A4-0000-D-0000-0000-Z ,Les Huit Salopards,23,2015,0000-0004-27A4-0000-D-0000-0000-Z.jpg,https://www.youtube.com/watch?v=nIOmotayDMY,"Après la Guerre de Sécession, huit voyageurs se retrouvent coincés dans un refuge au milieu des montagnes. Alors que la tempête s'abat au-dessus du massif, ils réalisent qu'ils n'arriveront peut-être pas à rallier Red Rock comme prévu."
0000-0005-7B31-0000-J-0000-0000-H,Once Upon a Time in Hollywood ,7,2019,0000-0005-7B31-0000-J-0000-0000-H.jpg,https://www.youtube.com/watch?v=ELeMaP8EPAA,"En 1969, Rick Dalton - star déclinante d'une série télévisée de western - et Cliff Booth - sa doublure de toujours - assistent à la métamorphose artistique d'un Hollywood qu'ils ne reconnaissent plus du tout en essayant de relancer leurs carrières."
0000-0000-1666-0000-5-0000-0000-M ,Sang pour sang,8,1984,0000-0000-1666-0000-5-0000-0000-M.jpg,https://www.youtube.com/watch?v=TFzPVLdGtAg,"Visser, un détective privé que les scrupules n'étouffent pas, est chargé de surveiller la jeune et jolie Abby pour le compte de son mari, Julian Marty, un patron de bar malchanceux. Très rapidement, Visser lui apporte des preuves qu'Abby a depuis quelque temps une liaison avec Ray, un employé de Julian."
